OPOR,lyield,lLFP,lfleetutil,lfueleff,lpOntime,lmisbagg,ltotaldelay,lcomplaint,lhetero,lavglandfee,lsparsity,lMKTshare,ltdomt_cost,lrevpaxenplaned,lempfte,year,quarter,carriercode,occasion
0.042568307,-2.1104374,-0.37908417,-0.99578875,4.0731211,-0.28762072,2.2148461,9.1595736,3.7376697,-7.128655,5.1077743,-1.8835195,-4.1035285,17.708742,14.907278,9.6896753,2004,1,1,1
0.11279068,-2.1025493,-0.28300241,-1.0173894,4.0608339,-0.2305028,2.1938858,8.9924335,3.4011974,-5.7064486,5.1635656,-1.8953494,-4.111938,17.773985,15.047595,9.713295,2004,2,1,2
-0.048818581,-2.1830547,-0.35760573,-1.0560884,4.0453982,-0.2440538,2.1222615,9.127285,3.3672957,-2.6731186,5.1346197,-1.8845048,-4.1759129,17.94302,15.014151,9.7449608,2004,3,1,3
0.012677065,-2.145617,-0.36846682,-1.0037478,4.0921164,-0.24786162,1.9768549,9.1517572,2.3025851,-1.7890451,4.9458537,-1.9372672,-4.0038247,18.138725,15.055221,9.759675,2004,4,1,4
-0.031501625,-2.1456013,-0.35408551,-0.99636602,4.1044512,-0.37361005,2.2565413,9.5347404,3.4965076,-1.5691415,5.0992985,-1.9873617,-3.9240239,18.217619,15.082819,9.7913265,2005,1,1,5
0.053348333,-2.1062613,-0.27918056,-1.0966964,4.0967603,-0.2833617,2.4300983,9.3978157,3.8501475,-1.3414301,5.2137489,-1.9826008,-3.8811767,18.434019,15.268675,9.8261204,2005,2,1,6
0.003327058,-2.1155691,-0.26887119,-1.008348,4.0712023,-0.37989071,2.3035846,9.6654205,3.9702919,-1.2442106,5.3044682,-1.9619983,-3.8815515,18.624481,15.28981,9.8469172,2005,3,1,7
0.00538538,-2.0192502,-0.33572641,-0.97019988,4.1107125,-0.3208555,2.2985771,9.5710869,3.4339871,-1.13895,5.1514444,-1.9694755,-3.7815673,18.791437,15.289782,9.8857307,2005,4,1,8
-0.027543005,-2.0382893,-0.34420615,-0.95516425,4.1064148,-0.27719209,2.4544475,9.4973221,3.2958369,-1.0363696,5.1883326,-2.0226765,-3.6976647,18.678873,15.310518,9.9203939,2006,1,1,9
0.10270772,-1.9833333,-0.24575107,-0.95610148,4.1097102,-0.26612425,2.6693094,9.5326414,3.5263605,-0.92594033,5.249608,-2.0449555,-3.6198552,18.885036,15.499199,9.957407,2006,2,1,10
-0.00819205,-2.0515304,-0.31692433,-0.98777187,4.1069531,-0.31531107,2.9063544,9.7166758,3.583519,-0.86616004,5.2550654,-2.0395482,-3.6404524,18.982466,15.449444,9.9811888,2006,3,1,11
0.004559906,-2.0581026,-0.37194967,-0.99310434,4.1176634,-0.31055266,2.4561641,9.7170973,3.3322046,-0.84292144,5.1845407,-2.0213425,-3.6225865,18.826071,15.426905,10.012925,2006,4,1,12
0.025677893,-2.0348191,-0.35740793,-0.98554349,4.1426144,-0.26804867,2.4318573,9.5896664,3.4657359,-0.78906459,5.2339096,-2.1098697,-3.5367575,18.828646,15.435802,10.052683,2007,1,1,13
0.12691137,-2.0438652,-0.24188384,-0.95495701,4.1408634,-0.22688104,2.4212565,9.5181189,3.6635616,-0.75472194,5.2130151,-2.0476263,-3.4425752,19.060101,15.658596,10.079665,2007,2,1,14
0.06321016,-2.1126001,-0.22696912,-0.96634793,4.1437449,-0.28743672,2.6504211,9.7391434,4.3694477,-0.73368502,5.3098989,-2.0123484,-3.4015012,19.133648,15.677681,10.104958,2007,3,1,15
0.025510006,-2.053504,-0.28694141,-0.99438322,4.1508298,-0.27410629,2.4105422,9.6702309,3.8066626,-0.73664516,5.2549157,-2.0362973,-3.4457641,19.211723,15.596232,10.106183,2007,4,1,16
-0.059062108,-2.0401082,-0.28772348,-0.97893095,4.1657329,-0.34559014,2.3542283,9.8394823,4.0430512,-0.73021334,5.2596507,-2.1138575,-3.4152343,19.346588,15.559174,10.104426,2008,1,1,17
-0.06565503,-2.0458305,-0.2429809,-0.92151678,4.1856656,-0.22161968,2.1994443,9.5312634,4.1743875,-0.71142054,5.3600941,-2.0648298,-3.3366754,19.671478,15.692442,10.116742,2008,2,1,18
-0.068489254,-2.1131697,-0.17942749,-0.96216172,4.1795039,-0.24021047,2.113843,9.564723,4.6347289,-0.71282458,5.3648319,-1.9967321,-3.2956204,19.663616,15.704537,10.065011,2008,3,1,19
